Vehicle_ID,Mileage_km,Engine_Hours,Fuel_Efficiency_km_l,Tire_Wear,Brake_Health,Oil_Quality,Traffic_Density,Maintenance_Status
Vehicle_1,122958,4036,13.203933139782153,0.46010262655768797,0.08292715250972604,0.9350766159804688,0.7154509636491239,Urgent Repair
Vehicle_2,147867,1499,12.126348093001521,0.19344722801193748,0.6417754044410112,0.29100336340028155,0.8059293661594655,Urgent Repair
Vehicle_3,132932,596,18.836514254841866,0.21037208152983577,0.4719373657552943,0.5206224651714518,0.25991647385772365,No Maintenance Required
Vehicle_4,104694,4726,6.091024216680026,0.023047088406607408,0.9078906004128328,0.39133283646619266,0.30062055985564207,Urgent Repair
Vehicle_5,120879,2053,9.20901219856874,0.8967465499077446,0.3631891960908492,0.9599281205835015,0.661154269719093,Scheduled Maintenance
Vehicle_6,111268,2146,10.24906780356071,0.2107066650749062,0.2871522634376287,0.3350491709384824,0.6955851743035442,Urgent Repair
Vehicle_7,55886,753,16.736387183191816,0.22753387693646332,0.5007349061441984,0.778545821422689,0.7040996843974501,No Maintenance Required
Vehicle_8,138337,2453,19.88771930242957,0.2796014326451318,0.4559461857686613,0.85541615463118,0.6826985047758368,No Maintenance Required
Vehicle_9,169266,1675,8.610057721357297,0.127408071695429,0.34442804621718826,0.4356064974809659,0.3928077169525388,No Maintenance Required
Vehicle_10,88498,3381,18.11461001205621,0.6392628831813628,0.6937412986983286,0.37817181445293124,0.39485367440367836,Urgent Repair
Vehicle_11,113727,4783,17.45934140647687,0.07514295317758657,0.7595618339139083,0.747745820932628,0.25481762364438143,No Maintenance Required
Vehicle_12,127324,3028,8.369860964626499,0.13420242632635027,0.8529839690301366,0.9128959803062341,0.15683369989636298,No Maintenance Required
Vehicle_13,176203,4786,10.989988702988338,0.6447567265900929,0.9728566047103429,0.7549317330722383,0.6925773793969057,No Maintenance Required
Vehicle_14,192335,2889,11.145093039387787,0.33966062048144274,0.26665619213250447,0.2271263655918656,0.09318878597231284,Urgent Repair
Vehicle_15,17023,3434,19.673310027898374,0.707947826701189,0.7160934824899615,0.8883077474377054,0.9377922867867816,No Maintenance Required
Vehicle_16,42090,2709,7.713378520683475,0.557424744670142,0.39425823549574524,0.3875816674368331,0.8266863036714514,Scheduled Maintenance
Vehicle_17,68221,1911,16.98736956657173,0.25602117306151306,0.6770819719511081,0.5762294117779343,0.8575057399572561,No Maintenance Required
